filename,Stat_Name,lat,lon,num_layers,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,Land Use
ARM_ARM_Ashton_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-E_,Ashton_E,37.133,-97.266,8,0.05,0.15,0.25,0.35,0.6,0.85,1.25,1.75,-9999,-9999,Grassland
ARM_ARM_Ashton_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-W_,Ashton_W,37.133,-97.266,8,0.05,0.15,0.25,0.35,0.6,0.85,1.25,1.75,-9999,-9999,Grassland
ARM_ARM_Byron_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-E_,Byron_E,36.881,-98.285,8,0.05,0.15,0.25,0.35,0.6,0.85,1.25,1.75,-9999,-9999,Grassland
ARM_ARM_Byron_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-W_,Byron_W,36.881,-98.285,8,0.05,0.15,0.25,0.35,0.6,0.85,1.25,1.75,-9999,-9999,Grassland
ARM_ARM_Lamont-CF1_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-E_,Lamont_E,36.605,-97.485,5,0.05,0.15,0.25,0.35,0.6,-9999,-9999,-9999,-9999,-9999,Grassland
ARM_ARM_Lamont-CF1_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-W_,Lamont_W,36.605,-97.485,5,0.05,0.15,0.25,0.35,0.6,-9999,-9999,-9999,-9999,-9999,Grassland
ARM_ARM_Pawhuska_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-W_,Pawhuska,36.841,-96.427,5,0.05,0.15,0.25,0.35,0.6,-9999,-9999,-9999,-9999,-9999,Grassland
ARM_ARM_Ringwood_ts_*.******_*.******_Water-Matric-Potential-Sensor-229L-W_,Ringwood,36.431,-98.284,8,0.05,0.15,0.25,0.35,0.6,0.85,1.25,1.75,-9999,-9999,Grassland
SCAN_SCAN_Abrams_ts_*.******_*.******_Hydraprobe-Analog-(2.5-Volt)_,Abrams,37.133,-97.083,5,0.0508,0.1016,0.2032,0.508,1.016,-9999,-9999,-9999,-9999,-9999,Grassland
SCAN_SCAN_Bushland#1_ts_*.******_*.******_Hydraprobe-Analog-(2.5-Volt)_,Bushland,35.167,-102.1,5,0.0508,0.1016,0.2032,0.508,1.016,-9999,-9999,-9999,-9999,-9999,Grassland
